               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093569,            0.040405,            0.052159,            0.055244,             0.14298,            0.034086,           0.0084242,            0.073786,            0.018127,            0.041613,             0.00291,             0.00291,             0.07381
                   1,             0.06497,            0.043055,            0.036559,             0.52021,             0.44348,             0.28005,             0.08633,            0.058596,            0.015646,            0.022324,           0.0058297,           0.0058297,             0.04753
                   2,            0.062333,            0.041031,            0.022544,              0.4801,             0.42554,             0.30582,            0.096785,            0.056017,            0.014807,            0.011732,           0.0087481,           0.0087481,            0.021248
                   3,            0.061145,            0.038974,            0.016612,             0.45722,             0.45142,             0.29487,             0.10962,            0.053252,            0.015371,           0.0084879,            0.009995,            0.009995,            0.009995
                   4,            0.054136,            0.038032,            0.012658,             0.55741,             0.53817,             0.51098,             0.21389,            0.048815,            0.014975,           0.0058818,            0.009995,            0.009995,            0.009995
                   5,            0.049822,            0.041846,             0.01074,             0.63536,             0.58353,             0.57774,             0.24147,            0.042262,            0.014718,           0.0057936,           0.0099911,           0.0099911,           0.0099911
                   6,            0.048149,            0.042472,            0.010485,             0.66355,             0.56899,             0.59923,             0.23596,            0.043533,             0.01444,           0.0043791,           0.0099861,           0.0099861,           0.0099861
                   7,            0.045671,            0.039773,           0.0095791,             0.73758,             0.56549,             0.61939,             0.26771,            0.044133,            0.013883,           0.0046238,             0.00998,             0.00998,             0.00998
                   8,            0.046615,            0.041457,           0.0081486,             0.74331,             0.56201,             0.64794,             0.29011,             0.04163,            0.013928,           0.0040038,           0.0099728,           0.0099728,           0.0099728
                   9,             0.04331,            0.038701,           0.0084042,             0.71223,             0.55937,             0.62645,             0.30034,            0.039699,            0.013775,           0.0025735,           0.0099645,           0.0099645,           0.0099645
                  10,            0.042765,            0.039604,             0.00745,             0.58778,             0.71113,             0.68145,             0.31655,             0.03728,            0.013969,           0.0031755,           0.0099551,           0.0099551,           0.0099551
                  11,            0.041766,            0.041658,            0.006352,             0.63255,             0.67552,             0.69962,             0.34231,            0.036723,            0.014042,           0.0033675,           0.0099446,           0.0099446,           0.0099446
