               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1038,            0.037993,            0.054696,           0.0076656,            0.044096,           0.0043187,          0.00084445,            0.085741,            0.019522,            0.049988,             0.00149,             0.00149,             0.08659
                   1,            0.081271,            0.044776,            0.048393,            0.060517,             0.12852,            0.033151,           0.0088044,             0.06974,             0.01929,             0.04174,           0.0029897,           0.0029897,             0.07309
                   2,            0.068679,            0.047573,            0.039599,             0.12409,             0.36956,             0.14627,            0.046837,            0.060624,            0.019173,             0.03089,           0.0044882,           0.0044882,            0.059588
                   3,            0.064214,            0.043182,            0.029529,             0.31928,             0.29852,             0.19299,             0.06172,            0.059396,            0.016975,            0.023541,           0.0059847,           0.0059847,            0.046085
                   4,            0.063585,            0.038913,            0.022653,             0.54661,             0.34913,             0.23998,            0.063679,            0.057907,            0.015819,            0.018188,           0.0074782,           0.0074782,            0.032578
                   5,            0.062698,            0.039729,            0.018168,             0.49217,             0.39308,             0.31765,             0.10148,            0.053046,            0.016852,            0.014953,           0.0089678,           0.0089678,            0.019068
                   6,            0.060983,            0.037783,            0.014345,             0.53799,             0.25395,             0.23732,            0.067051,             0.05769,            0.015826,            0.013809,           0.0099645,           0.0099645,           0.0099645
                   7,            0.056403,            0.034445,            0.011659,             0.47989,             0.35442,             0.32192,              0.1092,            0.052213,            0.016751,            0.011129,           0.0099645,           0.0099645,           0.0099645
                   8,            0.054079,            0.037026,            0.010484,             0.53476,             0.39551,             0.39768,             0.12303,            0.049227,            0.017208,                0.01,           0.0099517,           0.0099517,           0.0099517
                   9,            0.051163,            0.041942,            0.010247,             0.67652,             0.35425,              0.3934,             0.11677,            0.053199,            0.015981,            0.010383,            0.009937,            0.009937,            0.009937
                  10,            0.049769,            0.041389,           0.0090915,             0.53593,             0.40349,             0.34751,             0.11467,            0.052714,            0.016456,            0.010317,           0.0099203,           0.0099203,           0.0099203
                  11,            0.049633,            0.041945,           0.0078776,             0.52704,             0.47852,             0.42377,             0.15317,            0.053296,            0.015648,           0.0098168,           0.0099017,           0.0099017,           0.0099017
                  12,            0.048473,            0.039833,           0.0073691,             0.56485,             0.38632,             0.39431,             0.12765,            0.048646,             0.01587,            0.010323,           0.0098811,           0.0098811,           0.0098811
                  13,             0.04606,            0.042447,           0.0072477,             0.39428,             0.50288,             0.42777,             0.14441,            0.049033,            0.015956,           0.0095078,           0.0098586,           0.0098586,           0.0098586
                  14,            0.044756,            0.035698,           0.0063052,             0.60125,             0.45532,             0.46291,             0.18797,            0.045893,             0.01572,           0.0098156,           0.0098342,           0.0098342,           0.0098342
                  15,            0.043805,            0.038094,           0.0060249,             0.69095,             0.43205,             0.50806,             0.21405,            0.044854,            0.015462,           0.0093583,           0.0098079,           0.0098079,           0.0098079
                  16,            0.042394,            0.036473,           0.0065741,             0.42635,             0.55873,             0.49097,             0.17943,             0.04469,            0.016085,           0.0095592,           0.0097798,           0.0097798,           0.0097798
                  17,            0.042884,            0.035102,           0.0057342,             0.45782,             0.58824,             0.48899,             0.18273,            0.043123,            0.016379,           0.0091893,           0.0097497,           0.0097497,           0.0097497
                  18,            0.041937,             0.03844,            0.006228,             0.47436,              0.5792,             0.52394,             0.19301,            0.043637,            0.015852,           0.0096669,           0.0097178,           0.0097178,           0.0097178
