   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.66694,             0.47874,             0.49589,             0.19609,             0.04636,            0.034891,           0.0098472,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                 0.9,                   0,                   0,                   3
             0.68433,             0.47166,             0.50438,             0.20015,            0.043495,            0.034115,            0.009095,              0.0103,             0.09793,             0.93388,              0.0005,                   3,             0.81926,             0.10127,             0.04936,             0.48974,                   1,              0.9778,             0.97325,                 0.2,              3.9406,                   0,               0.015,             0.70274,             0.41155,                   0,             0.09956,             0.49924,                   0,                   0,                   0,                 0.5,             0.89137,                   0,                   0,              2.7015
             0.67423,             0.45268,             0.49898,             0.19713,            0.043119,            0.034563,           0.0091193,             0.00989,             0.09793,             0.93763,             0.00052,              3.0543,             0.79721,             0.09134,             0.04936,             0.48091,                   1,             0.93276,              1.0366,                 0.2,              3.9557,                   0,             0.01622,             0.72049,             0.44683,                   0,             0.09839,             0.49924,                   0,                   0,                   0,                 0.5,             0.88763,                   0,                   0,              2.8177
             0.66916,              0.4601,              0.5002,             0.19356,            0.040146,            0.032662,           0.0091379,             0.01051,             0.09771,             0.94517,              0.0005,              3.1403,             0.84939,             0.11023,             0.04829,             0.48974,              1.0676,             0.93867,              1.0259,                 0.2,              3.9406,                   0,             0.01464,             0.67755,             0.41633,                   0,             0.10254,             0.48285,                   0,                   0,                   0,                 0.5,             0.92269,                   0,                   0,              2.3355
             0.50392,             0.56743,             0.49249,             0.19525,            0.043628,            0.034218,           0.0085078,             0.00986,             0.09793,             0.94176,             0.00052,              3.0486,             0.77022,             0.08994,             0.04971,             0.47686,             0.99203,             0.92109,               1.068,                 0.2,              3.9557,                   0,             0.01624,              0.7298,             0.42515,                   0,             0.09689,              0.4935,                   0,                   0,                   0,                 0.5,             0.91847,                   0,                   0,              2.6997
             0.65906,             0.46753,             0.48259,             0.17868,            0.043058,            0.031204,            0.011285,             0.01159,             0.09037,             0.94622,              0.0005,              3.0399,             0.78769,              0.0872,              0.0491,             0.53703,              1.0994,             0.89072,              1.1115,                 0.2,              3.7395,                   0,              0.0171,             0.66693,                 0.4,                   0,             0.10335,             0.49252,                   0,                   0,                   0,                 0.5,             0.92099,                   0,                   0,              2.4587
             0.35763,             0.49813,              0.4116,             0.14649,            0.042558,            0.025253,            0.011007,             0.01056,             0.10392,             0.86497,             0.00064,              3.7202,             0.79721,             0.09134,              0.0536,             0.39111,              1.0514,              1.1609,              1.0366,                 0.2,              2.5836,                   0,             0.01464,             0.87904,             0.44683,                   0,             0.08711,             0.47877,                   0,                   0,                   0,                 0.5,             0.77304,                   0,                   0,              2.4888
             0.60647,              0.4343,             0.47489,             0.18955,            0.043609,            0.030254,           0.0088156,             0.00989,             0.09487,                0.98,             0.00061,              2.8884,             0.79342,             0.09262,             0.04853,             0.45256,             0.99736,             0.88498,              1.1107,                 0.2,              3.6034,                   0,             0.01788,             0.76914,             0.53017,                   0,             0.10201,             0.53523,                   0,                   0,                   0,                 0.5,             0.67169,                   0,                   0,              3.8009
             0.68529,             0.42807,             0.48944,             0.19908,            0.042405,            0.037492,           0.0094144,             0.00989,             0.07737,             0.94681,              0.0007,              2.5428,             0.79721,             0.07308,             0.04936,             0.50003,             0.96795,             0.96745,              1.1995,                 0.2,              3.9557,                   0,             0.01914,             0.72049,             0.33828,                   0,             0.09839,             0.37308,                   0,                   0,                   0,                 0.5,             0.97463,                   0,                   0,                   2
             0.66621,             0.45371,             0.50389,             0.20336,             0.04543,            0.030648,           0.0091385,              0.0103,             0.09719,             0.93388,             0.00049,              3.2559,             0.92486,             0.09555,             0.05154,             0.46149,              1.0325,              1.0614,             0.78315,                 0.2,              4.0515,                   0,               0.015,             0.70274,             0.41155,                   0,             0.11669,             0.46192,                   0,                   0,                   0,                 0.5,             0.94171,                   0,                   0,              2.7774
             0.66161,             0.45062,             0.49532,             0.20101,            0.045476,            0.038348,             0.00876,             0.01028,             0.10047,             0.94484,             0.00049,                   3,              0.7032,             0.09656,              0.0514,             0.47752,              1.0379,             0.99039,              1.0358,                 0.2,               4.572,                   0,             0.01628,             0.60678,             0.40727,                   0,             0.08856,             0.54959,                   0,                   0,                   0,                 0.5,             0.89137,                   0,                   0,              2.7015
              0.6763,             0.48659,             0.52154,             0.21071,            0.050054,            0.033649,           0.0091449,              0.0103,             0.10918,              0.9019,              0.0005,              3.5276,             0.84275,             0.09442,             0.05988,             0.40566,              1.0586,              1.1648,             0.76742,                 0.2,              3.9746,                   0,             0.01487,             0.64733,             0.38828,                   0,             0.12847,              0.4804,                   0,                   0,                   0,                 0.5,               0.925,                   0,                   0,              2.7774
             0.70124,             0.48307,             0.52305,             0.20704,            0.039946,            0.030649,           0.0086348,             0.01081,              0.1021,             0.93388,             0.00044,              2.8654,                0.95,             0.09898,             0.04656,             0.47141,              1.0521,              1.1108,             0.74711,                 0.2,              3.8791,                   0,             0.01329,             0.69899,             0.40081,                   0,             0.11506,             0.46192,                   0,                   0,                   0,                 0.5,             0.90103,                   0,                   0,              2.7752
             0.47328,              0.5164,             0.48111,              0.1954,            0.048853,            0.030818,            0.010206,             0.01081,             0.10483,             0.87002,              0.0004,              2.8359,              0.9116,             0.09898,             0.05507,             0.30725,               1.005,              1.1749,             0.67719,                 0.2,              4.0978,                   0,             0.01349,             0.70265,             0.40081,                   0,             0.11506,             0.41848,                   0,                   0,                   0,                 0.5,              0.8322,                   0,                   0,              2.7752
             0.47332,             0.59795,             0.51221,             0.20317,            0.037815,            0.034292,            0.008142,             0.01073,             0.11681,             0.93326,             0.00041,              2.6607,                0.95,             0.08943,             0.04337,             0.49458,              1.0521,              1.1108,             0.82279,                 0.2,              4.0596,                   0,             0.01329,             0.65148,             0.40326,                   0,             0.11506,             0.47675,                   0,                   0,                   0,                 0.5,             0.88564,                   0,                   0,              2.6185
             0.61452,             0.43953,             0.46835,             0.17834,            0.047863,            0.031816,           0.0086905,             0.00949,             0.10918,             0.92336,              0.0005,              3.3488,             0.79795,             0.10209,             0.05427,             0.42759,              1.0586,               1.149,             0.76742,                 0.2,              4.0615,                   0,             0.01487,             0.63072,             0.38828,                   0,             0.13718,             0.49864,                   0,                   0,                   0,                 0.5,             0.79951,                   0,                   0,              2.1612
             0.66718,             0.47502,             0.49749,             0.18297,            0.053497,            0.028602,            0.010676,             0.01146,             0.12099,             0.87641,              0.0005,              3.5276,             0.84275,             0.11138,             0.06017,              0.4768,              1.0586,              1.1785,             0.62003,                 0.2,              3.9828,                   0,             0.01442,             0.56788,             0.39264,                   0,             0.17334,             0.46485,                   0,                   0,                   0,                 0.5,             0.76896,                   0,                   0,              2.8939
             0.60952,             0.48021,             0.47195,             0.18483,             0.05326,              0.0316,           0.0092555,              0.0103,             0.13314,              0.9019,             0.00047,              3.6661,             0.84275,              0.0759,             0.05988,             0.30851,              1.3188,              1.3276,              0.5919,                 0.2,              4.0632,                   0,             0.01487,              0.6715,             0.38828,                   0,              0.1456,              0.4719,                   0,                   0,                   0,                 0.5,              0.8369,                   0,                   0,              3.2062
             0.59915,              0.5071,              0.4872,             0.18139,            0.052526,            0.033124,           0.0092037,             0.01048,             0.11063,             0.91658,             0.00049,              3.4531,             0.77348,             0.09566,             0.05988,             0.40566,              1.0732,               1.123,              0.7798,                 0.2,              3.9634,                   0,             0.01549,             0.64733,             0.38771,                   0,             0.12896,             0.51115,                   0,                   0,                   0,                 0.5,             0.87796,                   0,                   0,              2.8065
               0.636,             0.45844,             0.47516,             0.18803,            0.041896,            0.030017,            0.010369,             0.01211,             0.09608,             0.92131,             0.00048,              2.8654,             0.72995,             0.11297,              0.0487,             0.47808,             0.84414,              1.1392,             0.74249,                 0.2,              3.7258,                   0,              0.0138,             0.69735,             0.36548,                   0,             0.12945,             0.42465,                   0,                   0,                   0,                 0.5,             0.80779,                   0,                   0,              2.7752
             0.47517,             0.53073,             0.47961,             0.18869,            0.034843,            0.031182,            0.012066,             0.00841,              0.1021,             0.96574,             0.00035,               2.956,                0.95,             0.10923,             0.04158,             0.46637,              1.1676,              1.3865,             0.72429,                 0.2,              3.3705,                   0,             0.01288,             0.64705,             0.35533,                   0,             0.11104,             0.43859,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.2322
             0.70456,             0.43724,             0.50322,             0.18962,            0.040537,            0.030335,           0.0088679,             0.01081,             0.10217,             0.93391,             0.00044,              2.8647,                0.95,             0.09901,             0.04656,             0.47064,               1.053,              1.1108,             0.74711,                 0.2,              3.8815,                   0,             0.01328,             0.69934,             0.40112,                   0,             0.11506,             0.46215,                   0,                   0,                   0,                 0.5,             0.90114,                   0,                   0,                2.78
